ELCODE_BCD,sp_code_calc
AMAJA01020,canirufu
AMAJA01030,canilupu
AMAJA03010,vulpvulp
AMAJA04010,uroccine
AMAJB01010,ursuamer
AMAJE02010,procloto
AMAJF01020,pekapenn
AMAJF02020,mustniva
AMAJF02030,mustfren
AMAJF02050,mustviso
AMAJF05010,spilputo
AMAJF06010,mephmeph
AMAJF10010,lontcana
AMAJG01010,phocvitu
AMAJG05010,cystcris
AMAJH03020,lynxrufu
AMAJH03021,lynxrufuflor
AMAJH04010,pumaconc
AMAJH04012,pumaconccoug
AMAKA01010,tricmana
AMALA01010,susscro
AMALC01010,cervelap
AMALC01050,cervnipp
AMALC02020,odocvirg
AMALE01010,bosbiso
AMATA01010,equucaba
ARAAA02010,chelmyda
ARAAA03010,eretimbr
ARAAA04010,lepikemp
ARAAB01010,chelserp
ARAAC01010,dermcori
ARAAD01010,chrypict
ARAAD02010,clemgutt
ARAAD03013,deirretireti
ARAAD05040,grapgeog
ARAAD05080,grappseu
ARAAD05083,grappseukohn
ARAAD06010,malaterr
ARAAD06017,malaterrterr
ARAAD07020,pseuconc
